time(s),reference current(A),current(A),cart position(m),pendulum angle(rad)
0.006912,0.0,0.0,0.0,-3.14159265
0.010432,0.088,0.0,0.0,-3.14159265
0.014144,0.205,0.062,0.0,-3.14159265
0.017984,0.333,0.105,1.8e-05,-3.14159265
0.022016,0.45,0.379,5.4e-05,-3.14080725184
0.026048,0.568,0.527,0.000144,-3.14080725184
0.030208,0.696,0.633,0.000306,-3.14080725184
0.034304,0.803,0.759,0.00054,-3.14002185367
0.038464,0.921,0.886,0.000846,-3.13845105735
0.04256,1.039,1.013,0.001296,-3.13766565919
0.046912,1.196,1.182,0.001908,-3.13688026102
0.051328,1.303,1.245,0.002682,-3.13452406654
0.05568,1.411,1.393,0.003654,-3.13216787205
0.060096,1.529,1.562,0.004806,-3.13059707572
0.064448,1.647,1.605,0.00621,-3.12588468675
0.0688,1.745,1.922,0.007884,-3.12117229778
0.073216,1.872,1.964,0.009702,-3.11960150145
0.077568,1.95,2.112,0.011916,-3.11410371431
0.082048,2.039,2.26,0.014454,-3.10546433453
0.086528,2.107,2.386,0.017262,-3.10075194555
0.090944,2.196,2.281,0.020412,-3.09211256576
0.095424,2.254,2.471,0.023958,-3.08425858414
0.099904,2.303,2.513,0.027828,-3.07640460251
0.104384,2.372,2.682,0.03204,-3.06697982456
0.108928,2.421,2.851,0.036792,-3.05519885213
0.113472,2.45,2.619,0.041886,-3.04263248153
0.118016,2.47,2.238,0.04734,-3.03085150909
0.12256,2.49,1.922,0.053136,-3.01985593481
0.127168,2.5,1.605,0.059166,-3.00728956421
0.131712,2.49,1.626,0.065466,-2.99001080464
0.136256,2.48,1.499,0.071964,-2.97744443404
0.1408,2.46,1.182,0.078606,-2.96409266527
0.145344,2.431,1.351,0.08541,-2.94917010019
0.149952,2.382,1.055,0.092358,-2.9342475351
0.154496,2.343,1.14,0.099432,-2.91618337736
0.15904,2.264,0.95,0.106578,-2.90361700676
0.163584,2.196,1.013,0.113814,-2.88790904351
0.168256,2.107,0.802,0.121266,-2.87220108026
0.1728,2.039,0.95,0.128628,-2.85649311701
0.177344,1.931,0.675,0.136062,-2.84078515376
0.181888,1.843,0.992,0.143514,-2.82507719051
0.186496,1.715,0.633,0.15102,-2.81015462543
0.19104,1.578,0.802,0.15858,-2.79209046769
0.195584,1.48,0.654,0.16614,-2.77638250444
0.200128,1.333,0.654,0.173736,-2.764601532
0.204672,1.196,0.759,0.18135,-2.74889356875
0.20928,1.039,0.443,0.188982,-2.73475640182
0.213824,0.921,0.823,0.196614,-2.71904843858
0.218304,0.754,0.59,0.204102,-2.70334047533
0.222784,0.598,0.717,0.21159,-2.69155950289
0.2272,0.421,0.675,0.219096,-2.67742233596
0.23168,0.303,0.633,0.226638,-2.66092897455
0.23616,0.117,0.421,0.234144,-2.64993340028
0.24064,-0.029,0.02,0.241578,-2.63736702968
0.245056,-0.205,0.02,0.248778,-2.62558605724
0.249472,-0.362,-0.296,0.25605,-2.61301968664
0.254144,-0.539,-0.148,0.263412,-2.60045331604
0.258816,-0.696,-0.718,0.270594,-2.58631614911
