time(s),current(A),cart position(m),pendulum angle(rad)
0.00768,0.026,0,-3.14159265358
0.011136,-0.052,0,-3.14159265358
0.014848,0,0,-3.14159265358
0.018496,0.026,0,-3.14159265358
0.022208,0.234,1.8E-05,-3.14080725541661
0.026112,0.338,7.2E-05,-3.14080725541661
0.030016,0.468,0.000126,-3.14080725541661
0.033984,0.52,0.000252,-3.14080725541661
0.037952,0.624,0.000468,-3.14002185725321
0.041984,0.676,0.000756,-3.13923645908981
0.045952,0.832,0.001134,-3.13845106092642
0.050048,0.884,0.001656,-3.13688026459963
0.054144,0.988,0.002304,-3.13530946827284
0.058304,1.04,0.003096,-3.13373867194605
0.062592,1.014,0.00405,-3.13059707929247
0.066816,1.222,0.005184,-3.12902628296568
0.07104,1.482,0.006462,-3.1250992921487
0.075264,1.378,0.007992,-3.12195769949512
0.079488,1.43,0.009666,-3.11881610684154
0.083776,1.612,0.011592,-3.11410371786117
0.088064,1.482,0.013824,-3.10939132888081
0.092416,1.69,0.016182,-3.10467893990043
0.096704,1.664,0.018918,-3.09603956010309
0.101056,1.872,0.021816,-3.08975637479593
0.105472,1.716,0.025056,-3.08347318948877
0.109888,1.794,0.028638,-3.07561920785482
0.114304,1.924,0.032454,-3.06540903173068
0.11872,1.872,0.036594,-3.05676965193334
0.123136,1.898,0.04104,-3.04577407764581
0.127552,1.872,0.045774,-3.03556390152168
0.131968,1.768,0.050796,-3.02692452172433
0.136384,1.794,0.056124,-3.01278735478322
0.1408,1.586,0.061704,-3.00100638233229
0.145216,1.508,0.0675,-2.98765461355458
0.149632,1.248,0.07353,-2.97430284477686
0.154048,1.3,0.079722,-2.96409266865273
0.158464,1.3,0.086112,-2.94681390905804
0.16288,1.014,0.092628,-2.93267674211693
0.167296,1.024,0.099288,-2.920895769666
0.171712,0.988,0.106038,-2.90440240823471
0.176128,0.858,0.112914,-2.8902652412936
0.180544,0.768,0.119862,-2.8745572780257
0.18496,0.728,0.126882,-2.85963471292119
0.18944,0.858,0.133992,-2.84549754598008
0.193856,0.702,0.141138,-2.83293117536576
0.198272,0.832,0.148338,-2.81565241577107
0.202688,0.546,0.155538,-2.80151524882996
0.207104,0.728,0.16281,-2.78659268372546
0.21152,0.468,0.170046,-2.77245551678435
0.215808,0.512,0.177156,-2.76145994249682
0.22016,0.364,0.184284,-2.74418118290213
0.224512,0.598,0.191376,-2.73161481228781
0.2288,0.26,0.19845,-2.71826304351009
0.233152,0.442,0.205524,-2.70648207105917
0.237504,0.234,0.212544,-2.69155950595466
0.241856,0.312,0.219528,-2.67899313534034
0.246144,0.13,0.226404,-2.66956835737961
0.250432,0.13,0.233118,-2.6546457922751
0.25472,0.156,0.239868,-2.64365021798757
0.2592,-0.13,0.246618,-2.63422544002683
0.26368,-0.156,0.253332,-2.62165906941251
0.26816,-0.364,0.259902,-2.61301968961516
0.272704,-0.546,0.266256,-2.60045331900085
0.277184,-0.572,0.272394,-2.59259933736689
0.281664,-0.702,0.27828,-2.58395995756955
0.286208,-0.884,0.283878,-2.576891374099
0.290816,-1.04,0.289332,-2.57060818879183
0.295488,-1.17,0.294534,-2.56275420715788
0.30016,-1.248,0.299376,-2.55882721634091
0.304832,-1.404,0.303858,-2.55411482736054
0.309504,-1.43,0.307962,-2.55018783654357
0.314176,-1.536,0.31167,-2.54861704021677
0.318848,-1.43,0.314946,-2.54704624388998
0.32352,-1.664,0.317772,-2.54704624388998
0.328192,-1.56,0.320112,-2.54861704021677
0.332864,-1.768,0.322074,-2.54940243838017
0.337536,-1.742,0.323496,-2.55332942919714
0.342208,-1.82,0.32445,-2.55804181817751
0.34688,-1.872,0.324972,-2.56353960532128
0.351552,-1.638,0.325026,-2.57139358695523
0.356224,-1.898,0.324594,-2.57767677226239
0.36096,-1.82,0.323784,-2.58867234654992
0.365632,-1.924,0.32256,-2.59652632818387
0.370304,-1.976,0.320904,-2.6075219024714
0.374976,-1.742,0.318906,-2.6224444675759
0.379648,-2.054,0.31653,-2.63579623635362
