time(s),reference current(A),current(A),cart position(m),pendulum angle(rad)
0.00768,0,0.078,0,-3.141592654
0.011136,0.094,0.026,0,-3.141592654
0.014784,0.164,0,0,-3.141592654
0.018432,0.266,0.156,0,-3.141592654
0.022208,0.36,0.26,0.000018,-3.141592654
0.026112,0.454,0.416,0.000054,-3.141592654
0.030016,0.556,0.39,0.000126,-3.141592654
0.033984,0.643,0.572,0.000234,-3.141592654
0.037952,0.737,0.598,0.000396,-3.140807255
0.041984,0.831,0.754,0.00063,-3.140807255
0.045952,0.941,0.832,0.000936,-3.140021857
0.04992,1.027,0.858,0.00135,-3.138451061
0.05408,1.105,0.988,0.00189,-3.137665663
0.05824,1.184,1.066,0.002556,-3.136094866
0.062464,1.286,1.17,0.003366,-3.133738672
0.066688,1.356,1.092,0.004338,-3.131382477
0.070912,1.443,1.326,0.005436,-3.129026283
0.0752,1.529,1.508,0.006696,-3.126670088
0.079424,1.584,1.534,0.00819,-3.122743098
0.083648,1.647,1.456,0.009882,-3.118816107
0.087872,1.701,1.638,0.011736,-3.115674514
0.092224,1.772,1.56,0.013896,-3.109391329
0.096512,1.811,1.716,0.01629,-3.103108144
0.100864,1.858,1.69,0.0189,-3.098395755
0.10528,1.905,1.716,0.021816,-3.090541773
0.109696,1.937,1.742,0.025038,-3.084258588
0.114112,1.96,1.638,0.028458,-3.076404606
0.118528,1.976,2.106,0.032184,-3.068550624
0.122944,1.992,2.106,0.036198,-3.059911245
0.12736,2,1.898,0.040428,-3.050486467
0.131776,1.992,1.82,0.044982,-3.037134698
0.136192,1.984,1.536,0.04977,-3.029280716
0.140608,1.968,1.768,0.054828,-3.016714346
0.145024,1.945,1.69,0.060138,-3.005718771
0.14944,1.913,1.742,0.065664,-2.993937799
0.153856,1.882,1.612,0.071406,-2.979800632
0.158272,1.827,1.378,0.077364,-2.966448863
0.162688,1.78,1.248,0.083448,-2.955453289
0.167104,1.709,1.378,0.089694,-2.942886918
0.17152,1.647,1.248,0.096102,-2.926393557
0.175936,1.576,0.91,0.1026,-2.914612584
0.180352,1.498,1.17,0.109224,-2.898904621
0.184896,1.411,0.936,0.116028,-2.883982056
